Term,Ses,Subject,Catalog,Sec,Class Nbr,Career,Course Name,Topic Name,School,Dept,Instr ID,Class Start Date,Class End Date,Mtg Start,Mtg End,M,T,W,Th,Fri,S,Su,Bldng/Room,Enrl Cap,Wait Cap,Class Stat,Min,Max,Component
2228,S,CHEM, 140,04,1096,UGRD,General Chemistry I,,COS,CHEM,268,8/29/22,12/17/22,11:00:00 AM,11:50:00 AM,M,,W,,F,,,SC 150,88,100,Active,3.00,3.00,LEC
2228,S,CHEM, 140,05,1097,UGRD,General Chemistry I,,COS,CHEM,397,8/29/22,12/17/22,11:00:00 AM,11:50:00 AM,M,,W,,F,,,AF 202,45,100,Active,3.00,3.00,LEC
2228,S,BCHM, 335,01,1098,UGRD,Biochem I-Biomolecules Lec/Lab,,COS,CHEM,601,8/29/22,12/17/22,9:00:00 AM,9:50:00 AM,M,,W,,F,,,AF 208,30,0,Active,4.00,4.00,LEC
2228,S,BCHM, 335,02,1099,UGRD,Biochem I-Biomolecules Lec/Lab,,COS,CHEM,847,8/29/22,12/17/22,9:00:00 AM,9:50:00 AM,M,,W,,F,,,AF 207,35,0,Active,4.00,4.00,LEC
2228,S,BCHM, 335,03,1100,UGRD,Biochem I-Biomolecules Lec/Lab,,COS,CHEM,847,8/29/22,12/17/22,10:00:00 AM,10:50:00 AM,M,,W,,F,,,AF 207,35,0,Active,4.00,4.00,LEC
2228,S,CHEM, 230,01,1101,UGRD,Organic Chemistry I,,COS,CHEM,96,8/29/22,12/17/22,9:00:00 AM,9:50:00 AM,M,,W,,F,,,AF 211,35,100,Active,3.00,3.00,LEC
2228,S,CHEM, 230,02,1102,UGRD,Organic Chemistry I,,COS,CHEM,584,8/29/22,12/17/22,10:00:00 AM,10:50:00 AM,M,,W,,F,,,SC 303,35,100,Active,3.00,3.00,LEC
2228,S,CHEM, 230,03,1103,UGRD,Organic Chemistry I,,COS,CHEM,625,8/29/22,12/17/22,10:00:00 AM,10:50:00 AM,M,,W,,F,,,AF 211,43,100,Active,3.00,3.00,LEC
2228,S,CHEM, 230,04,1104,UGRD,Organic Chemistry I,,COS,CHEM,584,8/29/22,12/17/22,11:00:00 AM,11:50:00 AM,M,,W,,F,,,SC 303,35,100,Active,3.00,3.00,LEC
2228,S,CHEM, 230,05,1105,UGRD,Organic Chemistry I,,COS,CHEM,625,8/29/22,12/17/22,11:00:00 AM,11:50:00 AM,M,,W,,F,,,AF 207,43,100,Active,3.00,3.00,LEC
2228,S,BCHM, 401,01,1106,UGRD,Cancer Biology,,COS,CHEM,601,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,,T,,Th,,,,LL B14,12,0,Active,3.00,3.00,LEC
2228,S,BCHM, 401,01,1106,UGRD,Cancer Biology,,COS,CHEM,969,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,,T,,Th,,,,LL B14,12,0,Active,3.00,3.00,LEC
2228,S,BCHM, 420,01,1107,UGRD,Physical Biochemistry,,COS,CHEM,880,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,,T,,Th,,,,SH 103,22,0,Active,4.00,4.00,LEC
2228,S,BCHM, 420,L01,1108,UGRD,Physical Biochemistry,,COS,CHEM,880,8/29/22,12/17/22,1:00:00 PM,4:50:00 PM,M,,,,,,,KC 281,11,0,Active,4.00,4.00,LAB
2228,S,BCHM, 420,L02,1109,UGRD,Physical Biochemistry,,COS,CHEM,29,8/29/22,12/17/22,6:00:00 PM,9:50:00 PM,,T,,,,,,KC 382,11,0,Active,4.00,4.00,LAB
